,,,Frames,Time,Calcium,Diameter
FPS,3.902,,,,,
Frame Avg,2,,,,,
Hz,1.951,,,,,
# Frames,600,,,,,
s/frame,0.512,,,,,
Total time (s),307.2,,,,,
Total time (min),5.12,,,,,
Pixel res,256,,,,,
Zoom,2,,,,,
Pixels/um,0.855,,,,,
,,,1,0,-0.056736112,95.19263006
,,,2,0.5125,0.104484483,100.4757752
,,,3,1.025,0.072578495,95.96521296
,,,4,1.5375,-0.053701544,89.87926122
,,,5,2.05,0.07635,101.6986963
,,,6,2.5626,0.109859899,90.11295219
,,,7,3.0751,-0.042907261,82.46079452
,,,8,3.5876,-0.077197548,93.4984984
,,,9,4.1001,0.034083217,95.99642469
,,,10,4.6126,-0.055869138,84.95880021
,,,11,5.1251,-0.02587051,90.1005222
,,,12,5.6376,-0.019498002,98.06529117
,,,13,6.1501,-0.017894013,88.53167854
,,,14,6.6627,0.086103819,92.62132357
,,,15,7.1752,0.050166249,88.25759228
,,,16,7.6877,0.027580671,97.24449683
,,,17,8.2002,-0.066273227,100.819263
,,,18,8.7127,0.048779043,86.11452516
,,,19,9.2252,0.110987029,93.72058863
,,,20,9.7377,0.035817245,80.56229573
,,,21,10.25,0.06685618,94.04067205
,,,22,10.763,-0.032806621,96.00806072
,,,23,11.275,-0.064365788,88.96754882
,,,24,11.788,0.075179498,99.12310234
,,,25,12.3,-0.105288658,88.4779799
,,,26,12.813,-0.099046189,92.10790035
,,,27,13.325,-0.112268142,94.02974177
,,,28,13.838,-0.078844909,83.25452341
,,,29,14.35,-0.046722138,93.24251459
,,,30,14.863,0.113154544,106.5382873
,,,31,15.375,-0.000553812,92.89865627
,,,32,15.888,0.05562841,96.41855052
,,,33,16.4,0.004171333,91.07210854
,,,34,16.913,0.069890748,94.4781038
,,,35,17.425,0.07890763,112.5554109
,,,36,17.938,0.020991381,88.27484783
,,,37,18.45,-0.071692015,105.2284092
,,,38,18.963,0.034950192,93.09204018
,,,39,19.475,-0.050970503,88.64906216
,,,40,19.988,-0.010047633,103.2096509
,,,41,20.5,0.090655632,95.96878581
,,,42,21.013,0.001006805,97.18911321
,,,43,21.526,0.023679128,97.00073129
,,,44,22.038,-0.001160789,89.11789972
,,,45,22.551,-0.047459075,90.4679437
,,,46,23.063,-0.064582571,91.02409999
,,,47,23.576,0.032565972,97.20243422
,,,48,24.088,-0.051317324,92.56354923
,,,49,24.601,-0.016073319,95.38383498
,,,50,25.113,0.040499097,89.03383625
,,,51,25.626,0.005688657,95.89434699
,,,52,26.138,0.160363256,94.4046442
,,,53,26.651,0.031655625,95.39969668
,,,54,27.163,0.185896737,97.55245901
,,,55,27.676,0.008159621,100.9227434
,,,56,28.188,0.086884127,99.07031235
,,,57,28.701,0.144063441,90.80292723
,,,58,29.213,0.067766605,86.91580556
,,,59,29.726,-0.042473774,95.46773966
,,,60,30.238,0.047218425,89.51923244
,,,61,30.751,-0.014035842,93.65116062
,,,62,31.263,-0.039439284,88.22193433
,,,63,31.776,0.195173774,93.7718348
,,,64,32.288,0.058966427,86.06290848
,,,65,32.801,0.028924505,95.40529855
,,,66,33.313,0.047261798,93.5930687
,,,67,33.826,-0.054958712,96.83427168
,,,68,34.338,-0.022402532,82.98365713
,,,69,34.851,0.150305988,93.46289338
,,,70,35.363,-0.011868327,93.65266916
,,,71,35.876,-0.002201174,90.74255044
,,,72,36.388,0.05788267,93.53148331
,,,73,36.901,0.146404445,94.93919577
,,,74,37.413,0.089095015,105.2436181
,,,75,37.926,-0.013038829,102.5798233
,,,76,38.438,0.09945581,91.41762536
,,,77,38.951,0.017176504,98.07933557
,,,78,39.463,0.018910532,100.7638529
,,,79,39.976,0.042536574,107.8456864
,,,80,40.488,0.100322785,97.99236971
,,,81,41.001,-0.000770595,103.7472019
,,,82,41.513,0.006989119,98.18698868
,,,83,42.026,-0.060854439,89.46875377
,,,84,42.538,0.074789383,98.21087827
,,,85,43.051,-0.043427493,102.2409669
,,,86,43.564,0.060830493,103.7787665
,,,87,44.076,-0.048109345,89.57541884
,,,88,44.589,0.124035572,101.9989217
,,,89,45.101,0.128804089,88.27961163
,,,90,45.614,0.184422785,95.23658937
,,,91,46.126,0.006165517,95.73760907
,,,92,46.639,-0.057386383,101.0597204
,,,93,47.151,0.060223595,92.41781216
,,,94,47.664,0.019083942,109.2506465
,,,95,48.176,0.110336759,99.21394981
,,,96,48.689,0.139294923,101.8955736
