,,,Frames,Time,ROI A,ROI B
FPS,3.902,,,,,
Frame Avg,2,,,,,
Hz,1.951,,,,,
# Frames,600,,,,,
s/frame,0.512,,,,,
Total time (s),307.2,,,,,
Total time (min),5.12,,,,,
Pixel res,256,,,,,
Zoom,2,,,,,
Pixels/um,0.855,,,,,
,,,1,0,111.8982302,102.0361972
,,,2,0.512,112.9827636,103.0856042
,,,3,1.024,114.2531107,103.6255985
,,,4,1.536,113.3854944,103.7781948
,,,5,2.048,111.0544204,104.6283183
,,,6,2.56,109.8237323,104.8921538
,,,7,3.072,108.1643907,104.660022
,,,8,3.584,106.5658525,103.2377054
,,,9,4.096,104.804683,102.3028578
,,,10,4.608,103.8088994,102.1538724
,,,11,5.12,106.1114552,101.7409269
,,,12,5.632,109.2975929,100.927581
,,,13,6.144,109.6223489,100.1380972
,,,14,6.656,107.7198847,99.41459242
,,,15,7.168,107.0272589,99.92489182
,,,16,7.68,107.553584,100.3507028
,,,17,8.192,107.472109,100.5608282
,,,18,8.704,106.4927771,100.5326485
,,,19,9.216,106.384902,100.7725823
,,,20,9.728,107.7032163,101.5215604
,,,21,10.24,108.1652348,101.847273
,,,22,10.752,106.6667439,102.2064534
,,,23,11.264,103.7866765,102.7476033
,,,24,11.776,102.8558324,102.9525245
,,,25,12.288,102.9083629,103.0573817
,,,26,12.8,101.3420342,102.6956847
,,,27,13.312,101.655073,102.3263177
,,,28,13.824,102.735637,102.1615204
,,,29,14.336,105.0516265,102.3027373
,,,30,14.848,104.5092965,102.6131246
,,,31,15.36,104.493104,102.5988971
,,,32,15.872,103.4660576,103.1172548
,,,33,16.384,102.1884068,102.8312484
,,,34,16.896,102.3542997,102.9820076
,,,35,17.408,102.5415404,102.7887354
,,,36,17.92,103.7330165,102.7203402
,,,37,18.432,105.9265312,103.11612
,,,38,18.944,107.3553575,102.7562584
,,,39,19.456,108.0232392,102.5351256
,,,40,19.968,107.5998934,102.2457936
,,,41,20.48,106.6406465,102.2558967
,,,42,20.992,103.1972658,102.0666422
,,,43,21.504,100.1455179,101.0713694
,,,44,22.016,98.30120454,101.337502
,,,45,22.528,97.84582514,101.6544572
,,,46,23.04,99.72123163,102.3884382
,,,47,23.552,100.3974403,103.1085701
,,,48,24.064,102.4849104,103.1579943
,,,49,24.576,103.9063227,103.5049304
,,,50,25.088,104.8253667,103.5846805
,,,51,25.6,103.8389793,102.7122248
,,,52,26.112,104.1178102,101.4305334
,,,53,26.624,103.5028453,100.5955015
,,,54,27.136,102.2043749,101.1979734
,,,55,27.648,101.9778584,101.4337073
,,,56,28.16,103.3020183,102.4115699
,,,57,28.672,103.6512769,103.0222484
,,,58,29.184,102.5058971,102.9574416
,,,59,29.696,101.2386615,103.0086449
,,,60,30.208,101.1592586,102.4220689
,,,61,30.72,101.5144446,101.9622037
,,,62,31.232,103.3164845,101.2736433
,,,63,31.744,101.8695946,100.7750949
,,,64,32.256,101.82863,100.5586747
,,,65,32.768,100.336084,100.4645683
,,,66,33.28,102.9781077,101.3450375
,,,67,33.792,102.8594727,102.0148179
,,,68,34.304,102.0837247,102.220715
,,,69,34.816,104.3515475,102.7000541
,,,70,35.328,104.9703799,102.812003
,,,71,35.84,103.8456067,102.942886
,,,72,36.352,101.5994032,102.4163752
,,,73,36.864,98.98632936,101.9222442
,,,74,37.376,98.9119491,101.6214983
,,,75,37.888,97.66880142,101.9478147
,,,76,38.4,99.00634458,102.8488127
,,,77,38.912,95.5499375,103.0931961
,,,78,39.424,93.94011506,102.3994857
,,,79,39.936,93.82382805,102.7378397
,,,80,40.448,92.63715984,102.5948752
,,,81,40.96,92.02818916,101.9276523
,,,82,41.472,91.7762246,101.1487424
,,,83,41.984,94.63414919,100.3115797
,,,84,42.496,97.05603873,100.0499727
,,,85,43.008,101.3658649,100.8898042
,,,86,43.52,100.56954,101.1907487
,,,87,44.032,100.4343323,101.0613715
,,,88,44.544,99.50005907,100.7069282
,,,89,45.056,99.21037554,101.3538851
,,,90,45.568,98.16918323,100.9174938
,,,91,46.08,96.53783077,100.5433992
,,,92,46.592,94.69925749,100.162862
,,,93,47.104,95.05238298,99.68808599
,,,94,47.616,92.67526364,99.73989116
,,,95,48.128,92.57642085,99.35010912
,,,96,48.64,87.99691882,98.06362046
,,,97,49.152,88.88785749,98.03502049
,,,98,49.664,88.35605367,98.20086597
,,,99,50.176,90.19945234,99.23071156
